lat_lon,county
46.0894.-100.6537,SIOUX

47.9786.-99.0347,BENSON

48.8122.-99.8976,ROLETTE

48.8436.-99.6922,ROLETTE

46.0306.-100.76,SIOUX

47.9417.-98.8296,BENSON

48.8494.-99.7453,ROLETTE

47.9761.-98.8694,BENSON

48.8242.-100.0032,ROLETTE

48.8458.-99.6838,ROLETTE

46.4167.-100.5837,SIOUX

47.5992.-102.7669,DUNN

48.025.-98.8184,BENSON

48.85.-99.681,ROLETTE

46.91305556.-100.0825,BURLEIGH

48.0264.-98.8379,BENSON

47.9833.-98.7837,BENSON

48.8403.-99.7357,ROLETTE

47.9906.-99.0336,BENSON

48.8469.-99.751,ROLETTE

48.0033.-98.8244,BENSON

48.0064.-98.8503,BENSON

48.8722.-99.9129,ROLETTE

48.8333.-99.7607,ROLETTE

48.8686.-99.7171,ROLETTE

47.9917.-98.8129,BENSON

46.91893.-103.5005,BILLINGS

47.9225.-98.8165,BENSON

46.0325.-100.6354,SIOUX

48.8639.-99.7186,ROLETTE

46.63333333.-100.61666667,BURLEIGH

48.8458.-99.7447,ROLETTE

46.3333.-100.5837,SIOUX

48.8236.-99.6601,ROLETTE

48.8505.-100.03657,ROLETTE

47.49805556.-103.40472222,MCKENZIE

47.8.-98.9171,EDDY

48.8208.-99.8171,ROLETTE

47.9867.-98.8717,BENSON

47.4756.-102.336,DUNN

47.9694.-99.0726,BENSON

46.20439.-100.73122,SIOUX

46.1892.-100.704,SIOUX

48.808.-99.8078,ROLETTE

47.5172.-102.2725,DUNN

47.9758.-99.0168,BENSON

47.9997.-99.0093,BENSON

47.9761.-98.8879,BENSON

47.7292.-102.6753,MCKENZIE

46.0925.-100.6317,SIOUX

47.9875.-98.8712,BENSON

48.0144.-102.1319,MOUNTRAIL

46.1667.-100.6671,SIOUX

47.9486.-102.7492,MCKENZIE

46.12222222.-96.95888889,RICHLAND

48.8383.-99.7268,ROLETTE

47.91358.-98.84933,BENSON

47.9925.-99.065,BENSON

47.9917.-98.8754,BENSON

47.9872.-99.0015,BENSON

46.0953.-100.6383,SIOUX

48.0181.-99.0392,BENSON

47.8792.-98.7654,BENSON

46.1667.-100.6671,SIOUX

48.6864.-102.112,WARD

48.8417.-99.8421,ROLETTE

46.1.-100.6671,SIOUX

48.8394.-99.7629,ROLETTE

47.9917.-98.9879,BENSON

47.9208.-98.8164,BENSON

47.9194.-98.8321,BENSON

47.9678.-98.9711,BENSON

48.8417.-99.7351,ROLETTE

47.9347.-98.8353,BENSON

47.9736.-102.7147,MCKENZIE

47.9958.-98.8379,BENSON

48.8794.-99.9497,ROLETTE

47.9636.-98.9961,BENSON

48.8261.-100.0344,ROLETTE

48.8694.-100.0532,ROLETTE

47.9828.-98.905,BENSON

48.5266.-100.391,MCHENRY

47.9917.-99.0087,BENSON

47.9917.-98.9962,BENSON

46.0922.-100.6567,SIOUX

48.58333333.-102.38333333,BURKE

48.877.-100.9668,BOTTINEAU

47.9792.-99.0001,BENSON

47.9236.-98.8156,BENSON

46.1019.-100.6368,SIOUX

47.9917.-98.8698,BENSON

47.8.-98.9004,EDDY

47.7294.-102.6769,MCKENZIE

47.7356.-98.9947,EDDY

48.8442.-99.7703,ROLETTE

47.9375.-98.8893,BENSON

46.48583333.-97.21944444,RICHLAND

48.8631.-99.6838,ROLETTE

47.7914.-102.6322,DUNN

48.8519.-99.6851,ROLETTE

48.392.-101.512,WARD

48.8208.-99.7933,ROLETTE

48.8556.-100.0457,ROLETTE

46.0953.-100.6423,SIOUX

48.0269.-102.3392,MOUNTRAIL

47.925.-98.8087,BENSON

47.9744.-98.8664,BENSON

48.873.-99.7747,ROLETTE

47.9778.-99.0615,BENSON

46.0869.-100.649,SIOUX

47.8622.-99.0079,BENSON

46.86666667.-103.50777778,BILLINGS

47.6692.-101.83936,MCLEAN

47.8992.-98.8896,BENSON

47.9681.-98.9858,BENSON

48.8569.-99.8685,ROLETTE

47.7458.-102.6686,MCKENZIE

47.9181.-99.0275,BENSON

47.27833333.-103.59166667,BILLINGS

48.855.-99.8463,ROLETTE

47.803.-102.2494,MCLEAN

48.8047.-99.8105,ROLETTE

47.9917.-99.0462,BENSON

48.8681.-100.0212,ROLETTE

47.9792.-98.9956,BENSON

46.0928.-100.6636,SIOUX

46.3319.-100.5754,SIOUX

48.8931.-99.9144,ROLETTE

48.8211.-99.8533,ROLETTE

47.9831.-98.9969,BENSON

48.82.-99.9889,ROLETTE

47.9233.-98.8142,BENSON

48.7744.-99.6703,ROLETTE

47.9778.-98.899,BENSON

47.9561.-99.0803,BENSON

47.8431.-98.5417,NELSON

48.8205.-99.8555,ROLETTE

48.8461.-100.05,ROLETTE

48.8453.-100.0769,ROLETTE

46.016.-97.3333,SARGENT

48.8644.-100.0276,ROLETTE

48.8583.-99.766,ROLETTE

47.9497.-102.6839,MCKENZIE

47.9744.-98.9964,BENSON

46.0.-100.6337,SIOUX

47.9861.-98.8671,BENSON

47.9667.-99.0504,BENSON

47.8.-98.9171,EDDY

47.9917.-98.8629,BENSON

47.9411.-98.5743,RAMSEY

48.8436.-99.8563,ROLETTE

47.9903.-98.8893,BENSON

48.87.-100.0249,ROLETTE

47.5617.-102.2146,DUNN

47.9417.-98.8087,BENSON

48.8342.-99.7588,ROLETTE

47.9889.-98.8672,BENSON

47.9919.-98.996,BENSON

48.8519.-99.8182,ROLETTE

47.975.-98.9254,BENSON

48.8214.-99.8551,ROLETTE

46.3953.-100.5887,SIOUX

47.9836.-98.8669,BENSON

47.9675.-99.0817,BENSON

47.9669.-98.9676,BENSON

47.6461.-101.9669,MCLEAN

48.8497.-100.0001,ROLETTE

47.925.-98.7921,BENSON

48.8389.-99.7421,ROLETTE

47.9856.-98.8689,BENSON

46.0592.-100.6471,SIOUX

46.0.-97.5337,SARGENT

47.9897.-98.881,BENSON

48.8489.-99.9889,ROLETTE

48.8375.-99.7588,ROLETTE

47.9839.-98.9053,BENSON

46.3333.-100.6671,SIOUX

47.9786.-99.0304,BENSON

48.0375.-98.8587,BENSON

47.9875.-98.9143,BENSON

48.805.-99.863,ROLETTE

47.9625.-102.1714,MOUNTRAIL

47.9775.-102.2753,MOUNTRAIL

47.9889.-98.9032,BENSON

47.9931.-98.9948,BENSON

46.0622.-100.6707,SIOUX

46.08867.-100.65189,SIOUX

48.8794.-99.9639,ROLETTE

47.9944.-98.8559,BENSON

46.0436.-100.7094,SIOUX

47.9889.-99.0087,BENSON

